Хипофизата и щитовидната жлеза са жлези с вътрешна секреция.;да
Скелетните мускули са изградени от гладки мускулни влакна.;не
Всички тъкани са изградени от еднакви видове специализирани клетки.;не
Основните типове тъкани, които се образуват в зародишното развитие на човек са: съединителна, мускулна и нервна.;не
Според строежа на мускулните клетки и тяхното местоположение се различават 2 вида мускулна тъкан - скелетна и гладка.;не
Гладката мускулна тъкан е волева.;не
Нервната тъкан е изградена от неврони и глиални клетки.;да
Предаването на нервните импулси от неврон на неврон и от неврон на мускулна клетка става чрез глиалните клетки.;не
Сърдечната мускулна тъкан е изградена от къси напречно набраздени клетки, с по 1-2 ядра.;да
Мускулната тъкан има следните свойства: възбудимост, проводимост, съкратимост.;да
Синапсът е разклонение на дендрита.;не
Миелиновата обвивка съдържа главно въглехидрати.;не
Невроните имат тяло, от което излизат множество къси разклонени израстъци, наречени дендрити.;да
Костите и хрущялите изпълняват опорна функция.;да
Мазнините в клетките на мастната тъкан са резерв на енергия.;да
Едни видове от епителната тъкан имат защитна за тялото функция.;да
Кръвта е вид епителна тъкан.;не
Чрез движението си кръвта поддържа постоянна температура на тялото.;да
Епителната тъкан покрива само вътрешната повърхност на кухите вътрешни органи и вътрешната повърхност на сърцето.;не
Съединителната тъкан изгражда обвивките на органите - черен дроб, бъбреци, мускули, нерви, кръвоносни съдове и други.;да
Независимо от голямото разнообразие от организми и изграждащите ги клетки всички те имат сходен химичен състав.;да
Органичните молекули се самосглобяват в надмолекулни комплекси;да
Клетките са в основата на подклетъчните равнища на организация на живата материя.;не
Задния дял на хипофизата отделя хормони, които регулират обратното всмукване в бъбречните каналчета.;да
Повишената концентрация на хормоните на щитовидната жлеза повишава отделянето на хормони от хипоталамуса и хипофизата.;не
Целостта на многоклетъчния организъм като система се поддържа от взаимодействието на съставящите го части и от взаимодействието на организма със заобикалящата го среда.;да
При повишена концентрация в кръвта на естрогени от яйчниците следва понижаване на съответните хормони от подхълмието и хипофизата.;да
Органелите представляват функционално единство от тъкани, които осигуряват определена жизнена потребност на организма.;не
Хомеостазата е постоянство на вътрешната среда на организма поради постоянните условия в които живее.;не
Бъбреците са органи, в които се осъществява уринообразуването, но те отделят и ензима ренин.;да
Подсистеми на мезосистемата са: популации, биоценози, екосистеми;не
Хипоталамуса осъществява нервна и хуморална регулация.;да
Терморегулацията при човек се осъществява на принципа на отрицателната обратна връзка.;да
Същността на хомеостазата е съществуването на устойчиви показатели, които характеризират нормалното състояние на организма.;да
Различните клетъчни органели, които изпълняват обща функция образуват системите в организма.;не
На клетъчно ниво чрез обратна връзка се осъществява регулация на ензимната активност чрез обратно инхибиране.;да
На подклетъчно ниво обратната връзка има голямо значение за координацията на движенията и за секрецията на хормони;не
Хипофизата е разположена в главния мозък - над междинния мозък.;не
Задстомашната и околощитовидните жлези не се регулират от хормоните на хипофизата и следователно за тях не важи принципът за йерархична съподчиненост.;да
Положителната обратна връзка има адаптационно значение и тя не способства пряко за поддържане на хомеостазата.;да
В зависимост от местоположението си нервната система се дели на централна и вегетативна.;не
Централната нервна система се състои от главен мозък и гръбначен мозък.;да
В зависимост от функцията си нервната система се разделя на соматична и вегетативна.;да
Централната нервна система функционира главно чрез рефлекси.;да
Вегетативната нервна система е изградена от нервите, нервните възли и сплетенията.;не
Гръбначният мозък е изграден от централно разположено бяло вещество с формата на буквата Н, което е обградено със сиво вещество.;не
Периферно разположеното бяло вещество на гръбначния мозък е изградено от аксони на нервни клетки, намиращи се в сивото вещество на гръбначния и главния мозък.;да
Бялото вещество на гръбначния мозък образува проводни нервни пътища, изпращащи нервни импулси от гръбначния мозък към главния и обратно.;да
В предните рога на гръбначния мозък се намират нервни клетки, чиито аксони провеждат импулси до главния мозък.;не
При сливането на всяко предно и задно коренче на гръбначния мозък се образува един гръбначномозъчен възел.;не
От гръбначния мозък излизат 32 чифта гръбначномозъчни нерви.;не
Гръбначномозъчните нерви провеждат импулси до кожата и мускулите на шията, туловището и крайниците.;да
В сивото вещество на гръбначния мозък аксоните на сетивните нервни клетки се свързват или направо, или чрез други неврони с нервните клетки в предните рога, изпращащи импулси до мускулите.;да
Веригата от рецептор, сетивен неврон, двигателен неврон и самия мускул се нарича рефлексна дъга.;да
При опарване или убождане нервните импулси се провеждат от рецептора по сетивния неврон до главния мозък, където възбуждането се предава на двигателния неврон.;не
С помощта на рефлексни дъги се осъществява проводната функция на гръбначния мозък.;не
В гръбначния мозък е представена част от вегетативната нервна система, осъществяваща неговата вегетативна функция, която е свързана с вътрешните органи.;да
От главния мозък излизат осем чифта черепно мозъчни нерви.;не
Мозъчния ствол е образуван от моста, продълговатия мозък и средния мозък.;да
Главния мозък се дели на гръбначен мозък, краен мозък и мозъчен ствол.;не
Блуждаещия нерв излиза от моста.;не
Мостът е продължение на гръбначния мозък.;не
Мостът обработва информация за сетивността и мускулите в областта на главата.;да
В средния мозък се намира център потискащ болката.;да
Междинният мозък е изграден от два хълма и подхълмие.;да
Към крайният мозък е прикачена епифизата.;не
Хипофизата е пряко свързана с изграждането на имунитета.;не
Хипофизата е прикачена към подхълмието на междинния мозък.;да
Малкият мозък е пред мозъчния ствол.;не
Функцията на малкия мозък е свързана с равновесието и мускулния тонус.;да
Двете полукълба на крайния мозък са свързани със снопове от бяло мозъчно вещество.;да
Базалните ядра са свързани с двигателната дейност.;да
Крайния мозък се състои от пет дяла - челен, теменен, тилен, слепоочен и гръбначен дял.;не
В задната част на челния дял, пред централната бразда се намира двигателната зона.;да
В теменният дял е разположена зрителната зона.;не
Зрителната зона е разположена в тилният дял.;да
В слепоочния дял се намира слуховата зона.;да
Крайният мозък е най-добре развитата част на главния мозък и представлява 80 процента от масата му.;да
Дейността на вегетативната нервна система не е под волев контрол и затова тя се нарича и автономна нервна система.;да
Вегетативната нервна система контролира постоянството на телесната маса.;не
Вегетативната нервна система контролира постоянството на телесната температура.;да
Вегетативната нервна система се състои от три части, които се различават по структура и функция.;не
Централната част на симпатикуса се намира в сивото вещество на гръдната част на гръбначния мозък.;да
Централната част на симпатикуса се намира в сивото вещество на кръстцовата част на гръбначния мозък.;не
Централната част на парасимпатикуса се намира в три области на малкия мозък и в сивото вещество на гръдната част на гръбначния мозък.;не
Централната част на парасимпатикуса се намира в четири области на мозъчния ствол ив сивото вещество на кръстцовата част на гръбначния мозък.;да
Симпатиковата и парасимпатиковата част на вегетативната нервна система обикновено имат синергично/еднопосочно/ действие.;не
Симпатиковата част на вегетативната нервна система забавя сърдечната дейност и разширява кръвоносните съдове.;не
Симпатиковата част на вегетативната нервна система разширява въздухоносните пътища в белите дробове и разширява зеницата.;да
